Rok,Cena,Przebieg
"2017 
","560 000
","79 702
"
"2008 
","215 000
","49 000
"
"2020 
","622 688
","5
"
"2020 
","778 950
","5
"
"2020 
","644 643
","5
"
"2019 
","869 900
","4 821
"
"2017 
","113 900
","24 000
"
"2016 
","489 000
","30 000
"
"2020 
","891 000
","5
"
"2020 
","868 935
","10
"
"2009 
","165 000
","118 000
"
"2020 
","813 710
","1
"
"2008 
","198 000
","48 000
"
"2018 
","699 000
","8 900
"
"2017 
","569 900
","64 036
"
"2007 
","144 000
","168 000
"
"2020 
","599 000
","55
"
"2008 
","179 000
","85 017
"
"2016 
","480 000
","35 000
"
"2012 
","228 000
","65 000
"
"2014 
","258 000
","35 000
"
"2012 
","360 000
","34 000
"
"2008 
","179 000
","92 000
"
"2009 
","188 000
","81 000
"
"2008 
","179 000
","130 000
"
"2011 
","259 000
","11 000
"
"2016 
","499 999
","67 500
"
