Rok,Cena,Przebieg
"2008 
","12 900
","206 000
"
"2008 
","12 999
","237 000
"
"2008 
","16 499
","223 000
"
"2008 
","17 500
","251 000
"
"2008 
","17 800
","289 000
"
"2008 
","17 900
","172 000
"
"2008 
","17 900
","180 000
"
"2008 
","17 900
","137 369
"
"2008 
","17 999
","259 875
"
"2008 
","18 000
","216 900
"
"2008 
","18 000
","241 000
"
"2008 
","18 500
","286 000
"
"2008 
","19 900
","260 000
"
"2008 
","19 900
","269 000
"
"2008 
","19 900
","266 111
"
"2008 
","19 900
","169 000
"
"2008 
","19 900
","182 000
"
"2008 
","19 900
","210 000
"
"2008 
","19 999
","256 000
"
"2008 
","20 399
","154 000
"
"2008 
","20 800
","170 121
"
"2008 
","20 800
","261 801
"
"2008 
","20 900
","259 842
"
"2008 
","21 900
","200 650
"
"2008 
","21 900
","224 705
"
"2008 
","21 900
","290 000
"
"2008 
","22 900
","212 201
"
"2008 
","22 900
","164 000
"
"2008 
","22 900
","194 000
"
"2008 
","23 600
","164 115
"
"2008 
","23 888
","169 000
"
"2008 
","23 900
","242 000
"
"2008 
","23 900
","230 000
"
"2008 
","23 900
","218 000
"
"2008 
","23 900
","152 000
"
"2008 
","23 986
","167 800
"
"2008 
","24 900
","223 000
"
"2008 
","24 900
","187 254
"
"2008 
","24 900
","209 000
"
"2008 
","24 900
","125 000
"
"2008 
","24 900
","216 000
"
"2008 
","25 900
","225 000
"
"2008 
","25 900
","231 000
"
"2008 
","26 900
","149 808
"
"2008 
","26 986
","167 800
"
"2008 
","28 900
","136 000
"
"2009 
","18 900
","260 300
"
"2009 
","19 700
","212 000
"
"2009 
","21 500
","218 300
"
"2009 
","21 700
","166 000
"
"2009 
","21 700
","240 000
"
"2009 
","21 900
","168 105
"
"2009 
","22 900
","160 000
"
"2009 
","22 900
","217 000
"
"2009 
","22 900
","251 039
"
"2009 
","22 900
","303 000
"
"2009 
","22 999
","156 000
"
"2009 
","23 490
","161 000
"
"2009 
","23 800
","173 000
"
"2009 
","23 900
","179 700
"
"2009 
","23 900
","188 000
"
"2009 
","23 900
","135 000
"
"2009 
","23 900
","99 000
"
"2009 
","23 900
","177 212
"
"2009 
","24 500
","142 574
"
"2009 
","24 600
","204 965
"
"2009 
","24 800
","142 000
"
"2009 
","24 800
","149 950
"
"2009 
","24 900
","189 250
"
"2009 
","24 900
","159 000
"
"2009 
","24 900
","167 890
"
"2009 
","25 000
","199 134
"
"2009 
","25 900
","232 400
"
"2009 
","26 900
","145 045
"
"2009 
","28 500
","122 000
"
"2009 
","28 900
","168 000
"
"2009 
","28 900
","166 770
"
"2009 
","29 500
","175 000
"
"2010 
","11 700
","213 000
"
"2010 
","20 500
","166 000
"
"2010 
","20 900
","213 000
"
"2010 
","22 000
","196 785
"
"2010 
","22 900
","235 000
"
"2010 
","23 400
","190 000
"
"2010 
","23 900
","180 000
"
"2010 
","23 900
","199 000
"
"2010 
","24 000
","220 000
"
"2010 
","24 000
","150 000
"
"2010 
","24 300
","198 000
"
"2010 
","24 900
","145 000
"
"2010 
","25 000
","182 000
"
"2010 
","25 900
","212 000
"
"2010 
","25 900
","173 700
"
"2010 
","27 000
","185 122
"
"2010 
","27 300
","179 000
"
"2010 
","28 900
","178 000
"
"2010 
","28 900
","177 000
"
"2010 
","28 900
","229 000
"
"2010 
","29 900
","125 000
"
"2010 
","30 700
","189 312
"
"2010 
","30 900
","116 316
"
"2011 
","16 000
","180 000
"
"2011 
","19 900
","193 410
"
"2011 
","21 900
","154 239
"
"2011 
","22 500
","160 000
"
"2011 
","23 900
","121 000
"
"2011 
","23 900
","129 127
"
"2011 
","24 900
","222 000
"
"2011 
","25 900
","215 000
"
"2011 
","25 900
","183 000
"
"2011 
","25 999
","217 500
"
"2011 
","27 500
","149 000
"
"2011 
","27 500
","129 000
"
"2011 
","27 900
","240 000
"
"2011 
","29 700
","189 000
"
"2011 
","29 900
","91 557
"
"2011 
","29 900
","161 500
"
"2011 
","29 900
","187 000
"
"2011 
","30 000
","243 600
"
"2011 
","30 990
","171 000
"
"2011 
","31 600
","173 812
"
"2011 
","33 900
","160 000
"
"2011 
","34 950
","180 000
"
"2011 
","35 000
","166 395
"
"2011 
","36 900
","231 000
"
"2012 
","25 800
","238 899
"
"2012 
","26 900
","179 000
"
"2012 
","26 900
","240 000
"
"2012 
","28 999
","258 000
"
"2012 
","29 900
","206 000
"
"2012 
","32 900
","231 000
"
"2012 
","33 200
","163 000
"
"2012 
","33 900
","157 700
"
"2012 
","33 900
","256 612
"
"2012 
","33 900
","160 000
"
"2012 
","33 900
","166 000
"
"2012 
","34 000
","147 085
"
"2012 
","34 000
","147 085
"
"2012 
","34 500
","102 000
"
"2012 
","34 900
","199 655
"
"2012 
","34 999
","170 819
"
"2012 
","36 900
","203 797
"
"2012 
","37 900
","106 000
"
"2012 
","38 500
","170 000
"
"2012 
","38 900
","118 492
"
"2013 
","31 500
","177 000
"
"2013 
","33 999
","165 000
"
"2013 
","34 900
","150 124
"
"2013 
","35 000
","177 016
"
"2013 
","37 900
","180 000
"
"2013 
","39 000
","138 243
"
"2013 
","44 900
","106 000
"
"2014 
","25 900
","243 000
"
"2014 
","29 900
","164 500
"
"2014 
","37 900
","89 000
"
"2014 
","53 900
","49 100
"
"2015 
","41 900
","199 000
"
"2017 
","118 000
","39 000
"
"2017 
","71 999
","18 828
"
"2017 
","78 900
","52 800
"
"2017 
","84 900
","67 139
"
"2017 
","85 900
","62 906
"
"2017 
","94 999
","69 900
"
"2017 
","97 990
","68 668
"
"2018 
","105 000
","17 500
"
"2018 
","110 900
","69 540
"
"2018 
","115 500
","54 700
"
"2018 
","67 999
","45 000
"
"2018 
","94 900
","12 200
"
"2018 
","99 900
","117 256
"
"2018 
","99 999
","118 482
"
"2019 
","107 000
","101 011
"
"2019 
","107 900
","101 256
"
"2019 
","119 900
","39 000
"
"2019 
","119 900
","19 800
"
"2019 
","129 900
","33 700
"
"2019 
","131 900
","21 000
"
"2019 
","134 900
","40 000
"
"2019 
","59 900
","16 300
"
"2019 
","75 000
","7 700
"
"2020 
","114 000
",-
"2020 
","146 900
","10 000
"
"2020 
","149 940
","1 000
"
"2020 
","153 500
","12
"
"2020 
","156 500
","5
"
"2020 
","159 900
","10
"
"2020 
","159 900
","1 000
"
"2020 
","161 000
","5
"
"2020 
","162 900
","5
"
"2020 
","162 900
","5
"
"2020 
","163 700
","1
"
"2020 
","163 999
","1
"
"2020 
","164 000
","5
"
"2020 
","164 900
","6
"
"2020 
","165 579
","1
"
"2020 
","166 500
","5
"
"2020 
","167 000
","10
"
"2020 
","168 900
","1
"
"2020 
","169 700
","5
"
"2020 
","179 900
","10
"
"2021 
","139 600
","6
"
"2021 
","142 200
","6
"
"2021 
","142 200
","6
"
"2021 
","151 500
","10
"
"2021 
","153 900
","7
"
"2021 
","162 500
","1
"
"2021 
","165 700
","10
"
"2021 
","169 900
","1
"
"2021 
","173 900
","10
"
