Rok,Cena,Przebieg
"2009 
","21 900
","217 000
"
"2010 
","27 900
","198 000
"
"2019 
","109 000
","19 520
"
"2012 
","30 900
","199 000
"
"2013 
","36 999
","141 000
"
"2019 
","112 999
","32 300
"
"2020 
","149 900
","1
"
"2017 
","89 900
","63 000
"
"2019 
","112 999
","23 750
"
"2019 
","109 000
","13 380
"
"2013 
","40 000
","138 243
"
"2009 
","24 900
","189 250
"
"2020 
","149 940
","1 000
"
"2017 
","79 900
","164 000
"
"2020 
","159 999
","9
"
"2018 
","121 900
","28 200
"
"2010 
","26 900
","215 198
"
"2008 
","18 500
","235 000
"
"2010 
","24 900
","169 900
"
"2011 
","31 900
","183 000
"
"2014 
","38 900
","89 000
"
"2009 
","25 900
","173 000
"
"2010 
","9 900
","214 000
"
"2012 
","28 999
","258 000
"
"2008 
","22 900
","179 186
"
"2020 
","155 000
","1
"
"2012 
","26 900
","181 000
"
"2020 
","159 300
","10
"
"2019 
","129 900
","11 700
"
"2012 
","33 900
","160 000
"
"2008 
","20 900
","242 000
"
"2019 
","109 900
","45 000
"
"2009 
","23 900
","189 225
"
"2009 
","22 400
","168 105
"
"2019 
","109 000
","16 045
"
"2010 
","21 900
","223 142
"
"2011 
","36 000
","107 958
"
"2017 
","108 240
","85 162
"
"2008 
","20 900
","198 827
"
"2010 
","23 900
","163 000
"
"2011 
","32 900
","122 000
"
"2008 
","24 900
","223 000
"
"2009 
","23 990
","161 000
"
"2009 
","17 900
","260 300
"
"2020 
","157 500
","1
"
"2015 
","32 999
","93 554
"
"2012 
","34 000
","147 085
"
"2008 
","19 500
","265 000
"
"2015 
","44 900
","79 000
"
"2020 
","156 500
","5
"
"2008 
","20 900
","244 000
"
"2020 
","157 500
","10
"
"2020 
","115 200
","5
"
"2017 
","96 900
","73 705
"
"2010 
","27 900
","171 000
"
"2008 
","24 900
","221 000
"
"2020 
","159 900
","10
"
"2013 
","21 000
","93 000
"
"2008 
","18 499
","200 944
"
"2012 
","36 900
","160 000
"
"2009 
","25 500
","205 000
"
"2012 
","31 900
","224 000
"
"2019 
","148 500
","1
"
"2019 
","144 900
","1
"
"2009 
","29 900
","166 770
"
"2009 
","22 900
","150 000
"
"2019 
","97 500
","4 600
"
"2008 
","23 986
","167 800
"
"2008 
","24 900
","187 254
"
"2020 
","149 940
","100
"
"2020 
","186 500
","6
"
"2008 
","19 900
","219 352
"
"2020 
","149 900
","10
"
"2014 
","29 900
","164 500
"
"2011 
","29 700
","189 000
"
"2020 
","169 000
","6
"
"2008 
","22 900
","249 886
"
"2008 
","23 500
","122 000
"
"2020 
","186 500
","6
"
"2008 
","22 900
","106 921
"
"2009 
","23 900
","142 000
"
"2009 
","29 500
","175 000
"
"2011 
","26 800
","183 000
"
"2019 
","102 900
","22 556
"
"2012 
","25 800
","238 899
"
"2020 
","140 900
","4 500
"
"2009 
","8 900
","128 000
"
"2009 
","21 500
","264 000
"
"2008 
","19 200
","286 900
"
"2008 
","20 900
","229 128
"
"2011 
","29 800
","205 000
"
"2008 
","23 699
","169 000
"
"2008 
","23 900
","240 000
"
"2011 
","28 900
","189 000
"
"2012 
","32 900
","189 000
"
"2019 
","113 898
","15 700
"
"2020 
","165 700
","8
"
"2020 
","149 900
","2 498
"
"2014 
","32 900
","250 000
"
"2012 
","30 900
","231 000
"
"2012 
","29 900
","236 000
"
"2013 
","32 500
","179 554
"
"2012 
","35 900
","178 000
"
"2011 
","20 900
","154 239
"
"2011 
","28 900
","176 000
"
"2011 
","29 900
","129 000
"
"2019 
","134 900
","45 000
"
"2008 
","25 900
","231 000
"
"2019 
","134 900
","40 000
"
"2020 
","140 900
","10 900
"
"2019 
","104 900
","26 520
"
"2019 
","112 900
","17 300
"
"2018 
","98 900
","53 000
"
"2020 
","161 000
","5
"
"2017 
","99 200
","89 715
"
"2008 
","24 800
","212 000
"
"2018 
","109 900
","45 831
"
"2011 
","29 900
","164 254
"
"2014 
","38 900
","187 600
"
"2008 
","26 800
","173 860
"
"2019 
","109 000
","24 100
"
"2017 
","71 999
","18 828
"
"2008 
","18 800
","251 000
"
"2018 
","95 000
","57 316
"
"2010 
","24 500
","150 000
"
"2008 
","17 900
","241 889
"
"2019 
","94 900
","12 000
"
"2009 
","24 999
","147 000
"
"2013 
","29 900
","197 830
"
"2019 
","109 900
","21 500
"
"2008 
","24 900
","212 000
"
"2011 
","19 900
","266 000
"
"2009 
","24 900
","159 890
"
"2020 
","157 950
","5
"
"2009 
","23 700
","248 940
"
"2020 
","149 900
","10
"
"2020 
","142 900
","3 500
"
"2008 
","17 900
","155 704
"
"2008 
","13 900
","260 000
"
"2008 
","24 900
","144 000
"
"2009 
","18 900
","260 000
"
"2009 
","23 900
","188 000
"
"2008 
","23 600
","164 115
"
"2008 
","20 999
","193 000
"
"2009 
","18 900
","260 000
"
"2009 
","22 500
","272 000
"
"2009 
","15 999
","244 000
"
"2008 
","21 900
","290 000
"
"2012 
","34 900
","166 000
"
"2020 
","157 500
","1
"
"2013 
","33 900
","216 000
"
"2009 
","24 900
","92 200
"
"2008 
","22 900
","142 000
"
"2012 
","26 900
","189 000
"
"2012 
","39 900
","106 000
"
"2019 
","159 300
","10
"
"2012 
","39 500
","126 528
"
"2011 
","32 999
","148 569
"
"2013 
","28 400
","111 000
"
"2008 
","23 700
","170 000
"
"2012 
","38 500
","170 000
"
"2012 
","27 900
","240 000
"
"2008 
","23 000
","146 728
"
"2012 
","37 900
","144 500
"
"2008 
","26 986
","167 800
"
"2020 
","176 900
","7
"
"2019 
","128 000
","20 800
"
"2008 
","19 990
","217 892
"
"2009 
","23 800
","173 000
"
"2015 
","42 900
","199 000
"
"2012 
","29 999
","170 631
"
"2008 
","22 900
","260 000
"
"2011 
","24 300
","129 127
"
"2018 
","95 500
","39 600
"
"2013 
","37 900
","180 000
"
"2010 
","24 800
","195 572
"
"2011 
","24 900
","222 000
"
"2014 
","42 900
","65 000
"
"2012 
","30 900
","117 000
"
"2008 
","19 999
","235 328
"
"2010 
","19 900
","156 000
"
"2014 
","36 900
","139 000
"
"2009 
","26 000
","204 965
"
"2018 
","108 900
","51 000
"
"2012 
","35 900
","138 000
"
"2010 
","28 900
","229 000
"
"2008 
","21 900
","228 652
"
"2010 
","23 900
","180 000
"
"2018 
","68 900
","39 900
"
"2008 
","23 900
","173 545
"
