Rok,Cena,Przebieg
"2006 
","6 000
","249 000
"
"2006 
","15 900
","278 103
"
"2007 
","17 900
","218 000
"
"2002 
","21 000
","124 000
"
"2006 
","24 000
","179 500
"
"2003 
","90 000
","40 424
"
"2004 
","7 900
","281 000
"
"2005 
","8 000
","235 110
"
"2002 
","2 750
","284 907
"
"2006 
","17 900
","277 000
"
"2008 
","12 200
","280 400
"
"2008 
","14 500
","248 755
"
"2006 
","17 500
","270 000
"
"2008 
","15 900
","209 000
"
"2000 
","6 500
","190 000
"
"2003 
","9 700
","322 450
"
"2006 
","8 200
","195 000
"
"2007 
","12 800
","179 000
"
"2004 
","8 800
","236 487
"
"2007 
","14 900
","191 231
"
"2005 
","6 700
","244 000
"
"2000 
","7 900
","311 000
"
"2005 
","9 700
","153 359
"
"2008 
","13 999
","248 000
"
"2006 
","4 850
","294 000
"
"2009 
","9 900
","220 000
"
"2011 
","37 900
","150 000
"
"2006 
","13 900
","168 000
"
"2003 
","7 900
","256 000
"
"1999 
","7 900
","215 389
"
"2010 
","30 900
","200 900
"
"2004 
","6 900
","320 000
"
"2003 
","15 890
","380 000
"
"2006 
","5 900
","340 000
"
"2003 
","9 900
","191 000
"
"2007 
","14 900
","215 000
"
"2007 
","13 900
","170 000
"
"1999 
","11 700
","233 000
"
"2004 
","4 100
","207 000
"
"2002 
","12 300
","236 648
"
"2005 
","10 800
","182 400
"
"2006 
","12 800
","240 000
"
"2005 
","1 900
","277 395
"
"1999 
","6 950
","146 790
"
"2008 
","13 000
","216 767
"
"2011 
","37 900
","155 000
"
"2004 
","5 000
","252 000
"
"2011 
","25 999
","209 000
"
"2002 
","3 300
","370 000
"
"2006 
","14 900
","147 000
"
"2003 
","3 900
","200 000
"
"2010 
","30 700
","255 000
"
"2004 
","9 900
","235 000
"
"2005 
","9 900
","382 000
"
"2007 
","14 800
","317 000
"
"2006 
","8 900
","300 000
"
"2003 
","7 200
","256 000
"
"2011 
","49 900
","241 821
"
"2009 
","18 200
","210 500
"
"2011 
","51 900
","171 407
"
"2008 
","12 500
","162 000
"
"2004 
","3 900
","180 000
"
"2006 
","12 500
","194 000
"
"2007 
","17 900
","205 439
"
"2002 
","5 199
","213 654
"
"2011 
","44 800
","181 200
"
"2005 
","5 800
","424 000
"
"2000 
","4 499
","303 000
"
"2011 
","42 800
","160 000
"
"2003 
","7 999
","230 000
"
"2005 
","15 900
","201 300
"
"2007 
","15 900
","301 000
"
"2006 
","11 999
","221 234
"
"2005 
","10 800
","311 372
"
"2002 
","15 000
","234 300
"
"2011 
","59 900
","263 000
"
"2006 
","7 900
","225 000
"
"2007 
","11 400
","203 000
"
"2006 
","8 900
","280 213
"
"2011 
","63 000
","62 440
"
"2011 
","42 000
","134 000
"
"2003 
","7 900
","200 143
"
"2008 
","15 900
","207 539
"
"2001 
","11 500
","286 000
"
"2008 
","11 500
","215 000
"
"1998 
","4 900
","285 000
"
"2002 
","19 900
","264 713
"
"2004 
","8 444
","356 444
"
"2004 
","10 900
","184 000
"
